# room_id=6979222 host=玩机器丶Machine title=小众宝藏结晶直播 live_time= fetch_time=2026-02-21 23:45:46
[2026-02-22 03:39:00] 年轻人火气大: 收到
[2026-02-22 03:39:01] papacarrot: 怀念🧊的五个奶嘴：海参 donk 老猪 王朝 goat
[2026-02-22 03:39:01] 精神病狼: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:02] 最喜欢玩宝宝惹desuwa: 某些粉丝主队没了就开始拿其他队伍当奶嘴
[2026-02-22 03:39:02] Drunk2dr1ve: 哪个冰队 无冠的那个还是王朝的那个
[2026-02-22 03:39:02] 在原Nanami: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:02] 求你关了我: 藏
[2026-02-22 03:39:03] 开朗若叶睦: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:03] 蓝二乘1: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:03] 笑颜一番黄婷婷: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:03] 小蜜蜂载物本人: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:03] 十点差49分: 原来这蒙古人都是冰粉特意哦似自己国家队，太坏了
[2026-02-22 03:39:03] 用户65052344: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:04] 第三猪白猪玩斯曼: 省到机场
[2026-02-22 03:39:04] 鲜血与暗影铸造的家伙: 这就总决赛了？
[2026-02-22 03:39:04] 丶江楼月QAQ: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:04] 破浪的松鼠: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:04] 康托尔74920: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:04] 机长家的华仔: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:05] 射命丸文文句号: 不是icy在哪个队哪个队才是冰队吗
[2026-02-22 03:39:05] 用户3661578: 太坏了
[2026-02-22 03:39:05] 神奥联盟的竹兰本人: 原来这蒙古人都是冰粉特意哦似自己国家队，太坏了
[2026-02-22 03:39:05] 衰神177: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:05] 辛巴和他的辛巴兽: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:05] suicho: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:05] 最好的天赐: 现场谁粉丝多我不说
[2026-02-22 03:39:05] 治好了也会流口水: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:06] 2霸好长哦: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:06] 二阶堂shiro: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:06] LvvsiN: 你为什么要把mαjor禁了，我收藏的一半弹幕全毁了
[2026-02-22 03:39:06] 很久以前Ty: 不让jame研究就是
[2026-02-22 03:39:07] Hitagi蟹蟹: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:07] Abyss丶珈百璃: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:07] 丶陪你直到世界尽头: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:07] 千古恨轮回尝061: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:08] 牧者云歌: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:08] 巨型大高玩: 　　　 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:08] 卧槽你的玩机器: 现场哪边粉丝多是没点数吗🤣
[2026-02-22 03:39:08] 飞天玉虎zzZ: 　　　 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:08] 爱被小泉吃的拉面同学: 某些粉丝主队没了就开始拿其他队伍当奶嘴
[2026-02-22 03:39:08] LvvsiN: 为什么房管封的不能给鱼丸……还以为今天晚上得吃了……
[2026-02-22 03:39:08] 给jee介绍女朋友: 　　　 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:08] 澄澈冫: 🧊队不是指GL吗？都叫玩家军了。。。
[2026-02-22 03:39:08] 想你演唱会: 总决赛吗
[2026-02-22 03:39:09] 对着光说话: 玩神说一下为啥蒙古那么多非蒙古人粉丝啊？
[2026-02-22 03:39:09] 用户91227835: 🧊队不是指GL吗？都叫玩家军了。。。
